C,balanced,calibrated,split,auc,acc_all,brier,acc_0.52,n_0.52,cov_0.52,acc_0.55,n_0.55,cov_0.55,acc_0.58,n_0.58,cov_0.58,acc_0.60,n_0.60,cov_0.60
0.1,True,True,val,0.5434448595920311,0.5346271075272966,0.24884170040280396,0.5530119210887224,9479,0.3657162699178209,0.6645367412140575,313,0.012076083182221536,0.75,8,0.0003086538832516687,,0,0.0
0.1,True,True,test,0.5244667483402048,0.5145377100791704,0.24965117807135345,0.5294183195899265,17948,0.415482198249919,0.52203182374541,1634,0.03782582526968841,0.6490384615384616,208,0.00481503773322839,0.6956521739130435,69,0.0015972961711190332
0.1,True,False,val,0.5437671274776696,0.5335854006713222,0.24854909404257863,0.5440501583608041,15471,0.5968980284733207,0.5630064263760827,3579,0.13808403101971525,0.6388140161725068,371,0.014313823835796134,0.6627906976744186,86,0.003318029244955438
0.1,True,False,test,0.52462271007075,0.5157646187323487,0.25000696465995115,0.5231272273044565,27219,0.6300986156766517,0.5366188396756082,8015,0.18554099726839204,0.5234421364985163,1685,0.03900643548312422,0.5612813370473537,718,0.01662113986758646
0.1,False,True,val,0.543428997467145,0.5346271075272966,0.2488416912538627,0.5529783869267264,9485,0.36594776033025966,0.6677215189873418,316,0.012191828388440911,0.75,8,0.0003086538832516687,,0,0.0
0.1,False,True,test,0.52447093261128,0.514514560859299,0.24965106651678332,0.5294117647058824,17969,0.4159683318672161,0.5225609756097561,1640,0.03796472058891615,0.6507177033492823,209,0.00483818695309968,0.6956521739130435,69,0.0015972961711190332
0.1,False,False,val,0.5437925223585403,0.5339712180253868,0.24854486578613003,0.5438800568695877,15474,0.5970137736795401,0.5636719843268961,3573,0.1378525406072765,0.6388140161725068,371,0.014313823835796134,0.6666666666666666,90,0.0034723561865812724
0.1,False,False,test,0.5246172426232116,0.5154868280938932,0.250028631037635,0.5229435320915536,27219,0.6300986156766517,0.5374115895272367,8059,0.18655956294272882,0.5249559600704639,1703,0.039423121440807445,0.5606060606060606,726,0.016806333626556785
0.25,True,True,val,0.5435592228925902,0.534241290173232,0.24883542274369852,0.5531937394247038,9456,0.36482889000347235,0.6635514018691588,321,0.012384737065473205,0.75,8,0.0003086538832516687,,0,0.0
0.25,True,True,test,0.5245062027977745,0.514584008518913,0.2496511540041054,0.5296742525658188,17928,0.4150192138524932,0.5221130221130221,1628,0.03768692995046067,0.6568627450980392,204,0.0047224408537432285,0.7014925373134329,67,0.0015509977313764526
0.25,True,False,val,0.543838828569216,0.5338940545545738,0.24854156559550275,0.5451261208954261,15501,0.5980554805355145,0.5650384193194292,3644,0.14059184382113507,0.6415584415584416,385,0.014853968131486555,0.651685393258427,89,0.0034337744511748138
0.25,True,False,test,0.5246456742087231,0.5160424093708043,0.2500138354940529,0.5231469584052278,27239,0.6305616000740775,0.5367113516172672,8131,0.18822630677346172,0.5230859146697837,1711,0.03960831519977777,0.5607734806629834,724,0.016760035186814206
0.25,False,True,val,0.543544581389176,0.5340869632316062,0.24883619535020846,0.5533129028849202,9463,0.36509896215131754,0.665625,320,0.012346155330066746,0.75,8,0.0003086538832516687,,0,0.0
0.25,False,True,test,0.5245099278719214,0.5144682624195565,0.24965083776710356,0.5298382598996096,17930,0.41506551229223576,0.5220858895705521,1630,0.03773322839020325,0.6568627450980392,204,0.0047224408537432285,0.7014925373134329,67,0.0015509977313764526
0.25,False,False,val,0.5438917142273388,0.5342027084378256,0.24853570123155724,0.5449615906009941,15491,0.5976696631814499,0.5645959318306762,3638,0.14036035340869632,0.6450777202072538,386,0.014892549866893014,0.6526315789473685,95,0.0036652648636135653
